Date,Closing Price,Volume
2022-01-01,3769.697021484375,9776191466
2022-01-02,3829.56494140625,9881471548
2022-01-03,3761.38037109375,12080777893
2022-01-04,3794.056640625,14030925983
2022-01-05,3550.386962890625,18061338502
2022-01-06,3418.408203125,24293791313
2022-01-07,3193.21044921875,24494179209
2022-01-08,3091.97265625,16037732700
2022-01-09,3157.75146484375,12334683863
2022-01-10,3083.097900390625,19535744145
2022-01-11,3238.111572265625,15211447193
2022-01-12,3372.25830078125,16662871689
2022-01-13,3248.28857421875,15294466275
2022-01-14,3310.00146484375,13562957230
2022-01-15,3330.53076171875,9619999078
2022-01-16,3350.921875,9505934874
2022-01-17,3212.304931640625,12344309617
2022-01-18,3164.025146484375,13024154091
2022-01-19,3095.825927734375,13187424144
2022-01-20,3001.1201171875,10645922764
2022-01-21,2557.931640625,26796291874
2022-01-22,2405.18115234375,27369692036
2022-01-23,2535.0390625,16481489511
2022-01-24,2440.352294921875,28220804648
2022-01-25,2455.93505859375,16179776932
2022-01-26,2468.0302734375,21229909340
2022-01-27,2423.001220703125,16126522783
2022-01-28,2547.092041015625,14666227351
2022-01-29,2597.084716796875,11172062661
2022-01-30,2603.466552734375,9501221177
2022-01-31,2688.27880859375,13778234614
2022-02-01,2792.1171875,13194846235
2022-02-02,2682.85400390625,13876301217
2022-02-03,2679.16259765625,12755505065
2022-02-04,2983.5869140625,18987223729
2022-02-05,3014.648193359375,13102093957
2022-02-06,3057.47607421875,9466018022
2022-02-07,3142.470703125,15197063785
2022-02-08,3122.608642578125,17136080906
2022-02-09,3239.45703125,13951308490
2022-02-10,3077.482177734375,18629485080
2022-02-11,2927.383544921875,16043881065
2022-02-12,2917.36279296875,11254355757
2022-02-13,2883.46337890625,9054963563
2022-02-14,2933.47900390625,12164552172
2022-02-15,3179.877197265625,13921257873
2022-02-16,3127.830078125,12352406833
2022-02-17,2881.48193359375,15860206214
2022-02-18,2785.7275390625,15748173433
2022-02-19,2763.701171875,9774183169
2022-02-20,2628.6484375,11641437834
2022-02-21,2573.816162109375,18646392740
2022-02-22,2639.29931640625,16360200507
2022-02-23,2590.359619140625,13382637240
2022-02-24,2598.067138671875,29312342666
2022-02-25,2764.53564453125,17208902048
2022-02-26,2781.11181640625,11724648351
2022-02-27,2621.8017578125,16150857254
2022-02-28,2919.201171875,19266124733
2022-03-01,2972.485107421875,18757425786
2022-03-02,2950.118408203125,16636517503
2022-03-03,2834.468994140625,13091199728
2022-03-04,2617.156005859375,14496939024
2022-03-05,2664.8310546875,8072368396
2022-03-06,2555.037353515625,8872976607
2022-03-07,2497.771240234375,14594098731
2022-03-08,2576.74755859375,13922922903
2022-03-09,2729.783447265625,14173665398
2022-03-10,2608.048583984375,13292477213
2022-03-11,2559.56298828125,12382419582
2022-03-12,2574.754150390625,6532996574
2022-03-13,2518.944580078125,8632000379
2022-03-14,2590.696044921875,11244398839
2022-03-15,2620.149658203125,12861105614
2022-03-16,2772.0556640625,17915109769
2022-03-17,2814.8544921875,12685265194
2022-03-18,2945.343017578125,15830879093
2022-03-19,2946.257080078125,11576463120
2022-03-20,2860.459228515625,12684727326
2022-03-21,2897.9765625,15206116098
2022-03-22,2973.131103515625,16830539230
2022-03-23,3031.067138671875,16008767658
2022-03-24,3108.06201171875,18070503166
2022-03-25,3106.67138671875,17030503831
2022-03-26,3143.178955078125,8876420740
2022-03-27,3291.57763671875,13431866834
2022-03-28,3336.634521484375,20620450770
2022-03-29,3401.98779296875,19533323636
2022-03-30,3385.157958984375,15302506131
2022-03-31,3281.642822265625,17685495686
2022-04-01,3449.55224609375,20982988937
2022-04-02,3445.059326171875,23571556215
2022-04-03,3522.83349609375,15333808649
2022-04-04,3521.2412109375,18209969743
2022-04-05,3411.79248046875,16681503199
2022-04-06,3171.69189453125,25632563639
2022-04-07,3233.274658203125,16745496605
2022-04-08,3192.073974609375,17557050669
2022-04-09,3261.916259765625,9908112156
2022-04-10,3211.866943359375,10427054790
2022-04-11,2981.05224609375,21891804831
2022-04-12,3030.37646484375,20235707410
2022-04-13,3118.34423828125,16088473629
2022-04-14,3019.909423828125,15821419931
2022-04-15,3040.91650390625,11256651536
2022-04-16,3062.310302734375,8766710365
2022-04-17,2993.4033203125,10463091281
2022-04-18,3057.606689453125,18629381299
2022-04-19,3104.1064453125,14156035096
2022-04-20,3077.745849609375,15547362265
2022-04-21,2987.480712890625,20783591093
2022-04-22,2964.835693359375,16782795477
2022-04-23,2938.114013671875,9116955609
2022-04-24,2922.732666015625,9696829579
2022-04-25,3009.3935546875,22332690614
2022-04-26,2808.29833984375,19052045399
2022-04-27,2888.9296875,17419284041
2022-04-28,2936.94091796875,18443524633
2022-04-29,2815.601806640625,18771041399
2022-04-30,2730.186767578125,13520941867
2022-05-01,2827.756103515625,15332730152
2022-05-02,2857.410400390625,18609741545
2022-05-03,2783.476318359375,13026093219
2022-05-04,2940.644775390625,18186749944
2022-05-05,2749.213134765625,22642925048
2022-05-06,2694.979736328125,21027599270
2022-05-07,2636.093017578125,13369276367
2022-05-08,2517.4599609375,20802269935
2022-05-09,2245.430419921875,36333567678
2022-05-10,2343.510986328125,38202099639
2022-05-11,2072.108642578125,45743399154
2022-05-12,1961.7015380859375,42463486402
2022-05-13,2014.418212890625,24816096567
2022-05-14,2056.27392578125,15457044616
2022-05-15,2145.706787109375,14846088335
2022-05-16,2022.7259521484375,21459552191
2022-05-17,2090.4091796875,18509929297
2022-05-18,1916.6561279296875,17740965589
2022-05-19,2018.336181640625,18734247914
2022-05-20,1961.315673828125,15892482289
2022-05-21,1974.518310546875,8546822406
2022-05-22,2043.170166015625,10941123403
2022-05-23,1972.181884765625,16434529708
2022-05-24,1978.9827880859375,13057109007
2022-05-25,1944.827880859375,13364545730
2022-05-26,1803.913330078125,23458681818
2022-05-27,1724.9228515625,25470760032
2022-05-28,1757.9417724609375,23214777872
2022-05-29,1812.031005859375,10642556101
2022-05-30,1996.4412841796875,19580808705
2022-05-31,1942.3280029296875,18363115560
2022-06-01,1823.5693359375,21037797760
2022-06-02,1834.1505126953125,17065041354
2022-06-03,1775.07861328125,14878001811
2022-06-04,1801.6094970703125,8677951273
2022-06-05,1805.2049560546875,8850385937
2022-06-06,1859.2896728515625,16518471852
2022-06-07,1814.04833984375,24020076750
2022-06-08,1793.572265625,18041476023
2022-06-09,1789.8260498046875,12013083393
2022-06-10,1665.042236328125,18504740451
2022-06-11,1529.6634521484375,21127089064
2022-06-12,1445.216552734375,23465074882
2022-06-13,1204.582763671875,45162788786
2022-06-14,1211.662841796875,33327826525
2022-06-15,1233.2064208984375,37539999450
2022-06-16,1067.730712890625,18907671369
2022-06-17,1086.519287109375,14591486540
2022-06-18,993.6367797851562,21655406608
2022-06-19,1127.656494140625,21795481981
2022-06-20,1127.6424560546875,19739691429
2022-06-21,1124.8245849609375,15632089439
2022-06-22,1051.421875,15010593493
2022-06-23,1143.38671875,14657862919
2022-06-24,1226.8447265625,16981552654
2022-06-25,1243.4468994140625,12481946184
2022-06-26,1199.8316650390625,12096607824
2022-06-27,1193.6806640625,12492225250
2022-06-28,1144.5792236328125,14023205651
2022-06-29,1098.94384765625,15386286815
2022-06-30,1067.298828125,16350755497
2022-07-01,1059.767333984375,17499453625
2022-07-02,1066.5128173828125,9935603640
2022-07-03,1073.7669677734375,8557248150
2022-07-04,1151.05908203125,13670889311
2022-07-05,1134.541015625,16195518291
2022-07-06,1186.9739990234375,15373536703
2022-07-07,1237.5933837890625,14230795894
2022-07-08,1222.5062255859375,16315929082
2022-07-09,1216.978271484375,8821353104
2022-07-10,1168.401611328125,10984558039
2022-07-11,1097.236572265625,12064180410
2022-07-12,1038.191650390625,12583282453
2022-07-13,1113.587158203125,18302588147
2022-07-14,1191.5262451171875,16688640823
2022-07-15,1233.129150390625,17411448225
2022-07-16,1352.62646484375,18364013796
2022-07-17,1338.6357421875,16079711737
2022-07-18,1578.7178955078125,27440420623
2022-07-19,1542.9752197265625,27753529276
